POS_X,POS_Y,Speed
104.125,-127.477,13.6063
103.09,-127.476,13.8178
102.064,-127.475,14.0187
100.963,-127.473,14.2258
99.8945,-127.472,14.4195
98.7971,-127.471,14.6067
97.7316,-127.469,14.7572
96.6428,-127.468,14.7624
95.5746,-127.467,14.4274
94.5471,-127.465,13.9532
93.5433,-127.464,13.5654
92.4016,-127.463,13.1874
91.4265,-127.462,12.8387
90.4766,-127.46,12.4765
89.5851,-127.459,12.1177
88.6855,-127.446,11.7323
87.8474,-127.413,11.3459
87.0286,-127.347,10.9343
86.2228,-127.237,10.485
85.4263,-127.066,9.98755
84.6571,-126.825,9.46825
83.9279,-126.513,8.92545
83.27,-126.141,8.16005
82.6841,-125.712,7.38156
82.208,-125.26,6.41719
81.8631,-124.838,5.32471
81.6193,-124.447,4.32591
81.452,-124.116,3.51278
81.3436,-123.841,2.73013
81.2803,-123.617,1.96045
81.2504,-123.454,1.23111
81.2405,-123.354,0.751164
81.2406,-123.27,1.03176
81.2453,-123.156,1.30073
81.2543,-123.019,1.60606
81.2695,-122.858,1.89012
81.278,-122.658,2.26449
81.2615,-122.448,2.50821
81.2227,-122.215,2.79201
81.1777,-121.961,3.03117
81.1296,-121.693,3.30059
81.0778,-121.405,3.53067
81.0217,-121.094,3.7938
80.9622,-120.764,4.02308
80.8976,-120.407,4.16761
80.833,-120.049,4.16094
80.7695,-119.697,4.3032
80.6998,-119.311,4.56957
80.6268,-118.907,4.84369
80.5497,-118.48,5.17278
80.4689,-118.033,5.56937
80.3892,-117.561,5.9182
80.3307,-117.054,6.22696
80.3072,-116.515,6.48454
80.3302,-115.957,6.7187
80.3735,-115.383,7.06059
80.4002,-114.802,7.36797
80.4218,-114.193,7.75704
80.4438,-113.567,7.95944
80.4665,-112.915,8.33295
80.4905,-112.224,8.53217
80.515,-111.513,8.89276
80.5395,-110.802,9.07028
80.5655,-110.048,9.41725
80.5928,-109.253,9.60389
80.6197,-108.47,9.92794
80.6469,-107.674,10.095
80.6747,-106.862,10.406
80.7031,-106.033,10.5825
80.7321,-105.187,10.8697
80.7622,-104.306,11.0504
80.7926,-103.417,11.3296
80.8233,-102.519,11.5099
80.856,-101.559,11.7855
80.8874,-100.64,11.9653
80.9203,-99.6752,12.2144
80.9527,-98.7255,12.404
80.985,-97.7604,12.6258
81.0114,-96.7611,12.827
81.0387,-95.7639,13.0429
81.066,-94.7366,13.2446
81.0893,-93.7001,13.3861
81.1138,-92.6259,13.3472
81.1365,-91.5789,13.4429
